,0
0,jamestown
1,quatre cocos
2,busselton
3,norman wells
4,axim
5,saldanha
6,new norfolk
7,santarem
8,bluff
9,puerto ayora
10,dinsor
11,geraldton
12,belushya guba
13,narsaq
14,yellowknife
15,rikitea
16,dongying
17,te anau
18,avarua
19,hermanus
20,cape town
21,louisbourg
22,bafq
23,ushuaia
24,illoqqortoormiut
25,shimoda
26,deputatskiy
27,lorengau
28,clovis
29,lompoc
30,carnarvon
31,punta arenas
32,kokstad
33,mount isa
34,luanda
35,bowen
36,san patricio
37,albany
38,maun
39,vozuca
40,fortuna
41,aflu
42,belyy yar
43,shitanjing
44,bredasdorp
45,hirna
46,kapaa
47,mayumba
48,east london
49,kodiak
50,kavieng
51,uvat
52,tateyama
53,taolanaro
54,barrow
55,pingxiang
56,mujiayingzi
57,belaya gora
58,tuktoyaktuk
59,blind river
60,torbay
61,lagoa
62,srivardhan
63,srednekolymsk
64,keffi
65,port hardy
66,lasa
67,hobart
68,pisco
69,ilulissat
70,butaritari
71,lakatoro
72,nikolskoye
73,kolyvan
74,vestmannaeyjar
75,shahreza
76,inirida
77,goundam
78,kimbe
79,chuy
80,lachi
81,bataraza
82,salekhard
83,sioux lookout
84,thinadhoo
85,kabelvag
86,maicao
87,henties bay
88,chateauroux
89,tiksi
90,mataura
91,bikaner
92,aykhal
93,arraial do cabo
94,mayo
95,padang
96,inuvik
97,sentyabrskiy
98,grindavik
99,tasiilaq
100,vila do maio
101,mahebourg
102,vao
103,pavilosta
104,taseyevo
105,cidreira
106,moose factory
107,toulepleu
108,port elizabeth
109,ponta do sol
110,sao joao da barra
111,handan
112,san quintin
113,marystown
114,vaini
115,biak
116,coquimbo
117,barentsburg
118,hami
119,peno
120,charleston
121,auki
122,sao jose da coroa grande
123,bathsheba
124,atuona
125,hasaki
126,qaqortoq
127,kaitangata
128,faanui
129,richards bay
130,georgetown
131,hualmay
132,grootfontein
133,celestun
134,phalaborwa
135,nome
136,qaanaaq
137,khatanga
138,guangzhou
139,caxito
140,attawapiskat
141,bagdarin
142,itarema
143,airai
144,la paz
145,golden
146,ribeira grande
147,tocopilla
148,grafing
149,sortland
150,victoria
151,nishihara
152,douglas
153,gubkinskiy
154,grand gaube
155,port alfred
156,sisimiut
157,penzance
158,alexandria
159,amderma
160,castro
161,conceicao do araguaia
162,alice springs
163,hithadhoo
164,olafsvik
165,cherskiy
166,thompson
167,vaitupu
168,siteki
169,erenhot
170,mount pleasant
171,vanimo
172,yar-sale
173,joshimath
174,igrim
175,anloga
176,mys shmidta
177,yendi
178,severo-kurilsk
179,dikson
180,brae
181,toliary
182,broome
183,marv dasht
184,karasjok
185,samalaeulu
186,los llanos de aridane
187,megalopoli
188,walvis bay
189,wlodawa
190,nagai
191,vardo
192,lebu
193,olinda
194,crossville
195,batagay-alyta
196,marcona
197,kachiry
198,port moresby
199,nakskov
200,beringovskiy
201,lavrentiya
202,tual
203,zhezkazgan
204,ulladulla
205,saint-philippe
206,karamea
