,City,Cloudiness,Country,Humidity,Lat,Lng,Max_temp,Wind_speed
1,atambua,1.0,ID,75.0,-9.11,124.89,75.39,17.85
2,avarua,0.0,CK,77.0,-21.21,-159.78,68.0,2.24
3,punta arenas,75.0,CL,100.0,-53.16,-70.91,39.2,6.93
4,severo-kurilsk,59.0,RU,93.0,50.68,156.12,43.71,10.45
5,port alfred,8.0,ZA,90.0,-33.59,26.89,62.01,5.01
6,dosso,15.0,NE,29.0,13.05,3.19,97.53,2.35
7,mount gambier,75.0,AU,87.0,-37.83,140.78,50.0,17.22
8,qaanaaq,51.0,GL,60.0,77.48,-69.36,46.23,12.71
9,albany,20.0,US,45.0,42.65,-73.75,87.01,14.99
10,tuatapere,91.0,NZ,67.0,-46.13,167.69,46.95,22.01
11,ushuaia,20.0,AR,86.0,-54.81,-68.31,41.0,4.7
12,atuona,7.0,PF,75.0,-9.8,-139.03,79.71,16.69
13,gizo,0.0,IL,65.0,31.8,34.94,81.0,6.93
14,bredasdorp,44.0,ZA,87.0,-34.53,20.04,50.0,8.05
15,hobart,75.0,AU,61.0,-42.88,147.33,48.2,14.99
16,moron,5.0,HT,71.0,18.56,-74.26,83.49,6.13
17,brewster,1.0,US,70.0,41.76,-70.08,91.0,4.7
18,lebu,75.0,ET,87.0,8.96,38.73,59.0,4.7
19,cherskiy,98.0,RU,69.0,68.75,161.3,42.45,24.81
20,shimoda,100.0,JP,95.0,34.7,138.93,71.01,4.0
21,tuktoyaktuk,40.0,CA,52.0,69.44,-133.03,64.4,4.7
22,deputatskiy,39.0,RU,85.0,69.3,139.9,46.23,3.02
23,emerald,43.0,AU,60.0,-23.53,148.16,43.0,4.7
24,hermanus,61.0,ZA,84.0,-34.42,19.24,53.01,19.6
25,hasaki,75.0,JP,94.0,35.73,140.83,68.0,9.17
26,makokou,100.0,GA,94.0,0.56,12.85,71.43,1.86
27,ustyuzhna,99.0,RU,85.0,58.84,36.43,53.79,1.95
28,bluff,50.0,AU,57.0,-23.58,149.07,43.71,4.79
29,port-gentil,40.0,GA,88.0,-0.72,8.78,77.0,10.29
30,upernavik,2.0,GL,88.0,72.79,-56.15,44.61,4.07
31,mahebourg,20.0,MU,72.0,-20.41,57.7,66.2,6.93
32,east london,0.0,ZA,88.0,-33.02,27.91,62.6,12.75
33,vao,94.0,EE,67.0,59.1,26.19,55.59,3.69
34,mataura,83.0,NZ,83.0,-46.19,168.86,40.65,8.23
35,kavaratti,100.0,IN,74.0,10.57,72.64,83.31,14.52
36,saint-paul,0.0,FR,35.0,45.22,1.9,81.0,13.87
37,arraial do cabo,0.0,BR,65.0,-22.97,-42.02,80.6,10.29
38,new norfolk,75.0,AU,61.0,-42.78,147.06,48.2,14.99
39,te anau,76.0,NZ,72.0,-45.41,167.72,38.31,5.86
40,dahanu,73.0,IN,81.0,19.97,72.73,83.31,19.84
41,vanavara,100.0,RU,93.0,60.35,102.28,60.63,5.17
42,jamestown,71.0,AU,86.0,-33.21,138.6,47.13,9.73
43,yegorlykskaya,54.0,RU,57.0,46.56,40.65,69.27,4.9
